"","Country.Name","X2020_renew_energy_1","X2020_access_to_electrcity_1","X2020_private_investment_1","X2020_gini_index_1","X2020_gdp_current_1","X2020_gdp_growth_1","X2020_gdp_per_capita_1","X2020_gdp_per_capita_growth_1"
"139","Norway",61.29,100,NA,NA,367633418887,-1.278171785,68340.0181,-1.857696109
"140","Nepal",74.54,89.9,NA,NA,33433659223,-2.369620627,1139.189892,-4.086568589
"141","Nauru",1.4,100,NA,NA,124685686.6,4.237288136,10124.7005,2.688329652
"142","New Zealand",28.61,100,NA,NA,212569779570,-0.6539214321,41760.59478,-2.820322501
"143","Oman",0.05,100,NA,NA,75909397659,-3.3797144,16707.62301,-2.11716851
"144","Pakistan",46.6,94.4852829,1951750000,NA,300425609206,-1.274087443,1322.314783,-2.97029465
"145","Panama",28.43,95.33601379,NA,NA,57086836942,-17.66833271,13293.33321,-18.85438221
"146","Peru",31.62,96.2,1e+08,43.8,201947603715,-10.86964078,6063.62658,-12.15393825
"147","Philippines",29.06,96.39028931,147860000,NA,361751145432,-9.51829474,3224.422811,-10.97819414
"148","Palau",0.87,100,NA,NA,251900000,-9.107206884,14016.2475,-9.390425024
"149","Papua New Guinea",54.28,20.49611855,NA,NA,23848442440,-3.167381176,2446.084413,-5.224817586
"150","Poland",16.14,100,NA,NA,599442783603,-2.020116215,15816.8204,-1.848440388
"151","Puerto Rico",2.46,100,NA,NA,103130900000,-4.202806719,31427.42911,-6.767756465
"152","North Korea",12.7,50.52029419,NA,NA,NA,NA,NA,NA
"153","Portugal",31.21,100,NA,34.7,229031860521,-8.300516042,22242.40642,-8.396854511
"154","Paraguay",61.44,99.7,NA,43.5,35432177936,-0.819785391,5353.348045,-2.148477897
"155","Palestinian Territories",15.02,100,NA,NA,15531700000,-11.31846611,3233.568638,-13.49638697
"156","French Polynesia",8.13,100,NA,NA,5731835679,-6.999991348,18984.61738,-7.678578454
"157","Qatar",0.06,100,NA,NA,144411363345,-3.640449805,52315.66008,-2.005009486
"158","Romania",24.06,99.99521637,NA,34.6,251362534092,-3.677510791,13047.45768,-3.145541561
"159","Russia",3.72,99.89778137,486950000,36,1493075887460,-2.653654501,10194.44141,-2.461151415
"160","Rwanda",81.7,45.19010925,NA,NA,10172925172,-3.373986332,773.8205575,-5.662297223
"161","Saudi Arabia",0.06,99.99,NA,NA,734271183955,-4.341387678,20398.06099,-4.79246757
"162","Sudan",62.13,59.69569778,NA,NA,27034593750,-3.629800824,608.3325195,-6.250228079
"163","Senegal",38.64,64.3,NA,NA,24530513059,1.342073773,1492.475904,-1.342145925
"164","Singapore",0.92,100,NA,NA,348392174864,-3.901053402,61274.00646,-3.600848086
"165","Solomon Islands",49.01,72.89792633,NA,NA,1536145831,-3.381116048,2222.462143,-5.645371054
"166","Sierra Leone",75.07,26.3106842,NA,NA,4062906364,-1.968486891,493.4322524,-4.196551048
"167","El Salvador",23.7,99.72254181,7800000,NA,24930080000,-7.878383783,3961.726633,-8.061580857
"168","San Marino",NA,100,NA,NA,1541247884,-6.647910818,45321.48922,-6.178501365
"169","Somalia",95.52,49.86356354,NA,NA,6.883e+09,2.489374346,416.2177747,-0.954716484
"170","Serbia",26.01,100,NA,35,53356484764,-0.9032185015,7733.803494,-0.240923959
"171","South Sudan",33.22,7.260933876,NA,NA,NA,NA,NA,NA
"172","Suriname",14.66,98.40328979,NA,NA,2911807496,-15.97519639,4796.533314,-16.91141207
"173","Slovakia",17.64,100,NA,NA,106728917483,-3.336244672,19551.62116,-3.419117124
"174","Slovenia",22.4,100,NA,24,53706800044,-4.321369905,25545.241,-4.960040833
"175","Sweden",58.4,100,NA,28.9,547054174236,-2.170213179,52837.90398,-2.87468419
"176","Eswatini",66.01,79.99336243,NA,NA,3982236726,-1.55964259,3372.904639,-2.480299705
"177","Seychelles",1.34,100,NA,NA,1183515398,-8.649206455,12020.02191,-9.425755928
"178","Syria",1.08,89.02761841,NA,NA,11159274040,-3.873681686,537.2113614,-6.99424539
"179","Chad",73.55,10.86567688,1.5e+08,NA,10715396051,-1.600006737,643.7722162,-4.66133902
"180","Togo",76.62,54.12759781,139900000,NA,7389329393,1.975742919,875.2454099,-0.4337969432
"181","Thailand",20.83,100,254800000,35,500457261548,-6.066925969,7001.785413,-6.287580891
"182","Tajikistan",38.75,99.50574493,NA,NA,8133963813,4.4,852.3302296,2.144186247
"183","Turkmenistan",0.06,100,NA,NA,45610571429,-3.4,7297.180042,NA
"184","Timor-Leste",11.42,96.00237274,NA,NA,2158392500,31.91448862,1660.308309,29.92997972
"185","Tonga",1.89,99.86349487,NA,NA,484796858.8,0.4886453233,4605.970878,0.1993635902
"186","Trinidad & Tobago",0.47,100,NA,NA,21059428846,-7.678331177,13871.79822,-7.568382946
"187","Tunisia",12.88,99.9,4e+07,NA,42538462678,-8.817878767,3497.733231,-9.660661575
"188","Turkey",13.72,100,408970000,NA,720288811762,1.940032245,8561.064333,1.147943989
"189","Tuvalu",6.67,99.42547607,NA,NA,51746568.7,-4.274831675,4674.909088,-5.252060333
"190","Tanzania",83.95,39.9,1200000,NA,66068737757,1.991964606,1104.164429,-1.026490973
"191","Uganda",92.91,42.13947678,NA,NA,37605430214,2.951306422,846.8811992,-0.4233164973
"192","Ukraine",8.72,100,1.5e+07,25.6,156617719786,-3.7528041,3751.737305,-3.101658589
"193","Uruguay",61.09,100,NA,40.2,53666908480,-6.262976819,15650.49943,-6.281483198
"194","United States",11.16,100,NA,39.7,21060473613000,-2.767802511,63528.6343,-3.700952528
"195","Uzbekistan",1.03,100,1.2e+08,NA,60224701296,1.995585078,1759.307471,0.05382223343
"196","Venezuela",23.33,99.9163208,NA,NA,NA,NA,NA,NA
"197","British Virgin Islands",1.42,100,NA,NA,NA,NA,NA,NA
"198","Vietnam",19.11,99.8,2686910000,36.8,346615750167,2.865411946,3586.347297,1.937355342
"199","Vanuatu",26.03,67.29905701,NA,NA,909421043.5,-4.992491429,2917.756849,-7.211878534
"200","Samoa",37.54,100,NA,NA,868898350.4,-3.108444011,4042.722715,-4.471685199
"201","Kosovo",NA,NA,NA,NA,7717143395,-5.340275302,4310.932984,-5.406637944
"202","Yemen",3.53,73.85346222,NA,NA,NA,NA,583.8756629,NA
"203","South Africa",9.76,90,NA,NA,337619569571,-6.342471149,5741.641249,-7.481092762
"204","Zambia",81.84,44.60406876,NA,NA,18110638619,-2.785055065,956.8317475,-5.59573306
"205","Zimbabwe",84.36,52.7476675,NA,NA,21509698406,-7.816950647,1372.696674,-9.670404777
